candidate_id,candidate_name,initial_cuisine,initial_business_type,initial_price_band,initial_crawl_estimate,initial_priority,discovery_source,canonical_name,address,district_verified,business_status,dine_in,official_site_url,branch_page_url,social_url,booking_url,root_domain,shared_domain_group,crawl_result,extractable_fields,verification_date,evidence_urls,exclusion_reason,verification_status,reviewer
001,鼎泰豐（101店）,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #1,,,,,,,,,,,,,,,,,pending,
004,紫艷中餐廳,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #4,,,,,,,,,,,,,,,,,pending,
005,合.Shabu,鍋物,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #6,,,,,,,,,,,,,,,,,pending,
007,隨意鳥101高空觀景餐廳,台／中式,獨立／地方品牌,$$$$,中｜需確認分店官方頁,P2 補足多樣性,TA #8,,,,,,,,,,,,,,,,,pending,
008,LA FARFALLA 義式餐廳－台北艾麗酒店,西式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #10,,,,,,,,,,,,,,,,,pending,
010,泰市場海鮮自助餐廳,東南／南亞,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #12,,,,,,,,,,,,,,,,,pending,
011,凱菲屋－台北君悅酒店,自助餐,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #13,,,,,,,,,,,,,,,,,pending,
012,一蘭拉麵－台灣台北本店,日式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #14,,,,,,,,,,,,,,,,,pending,
014,彩日本料理－台北君悅酒店,日式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #16,,,,,,,,,,,,,,,,,pending,
016,Top Cap Steakhouse,西式,獨立／地方品牌,$$$,中｜需確認分店官方頁,P2 補足多樣性,TA #18,,,,,,,,,,,,,,,,,pending,
017,海底撈台灣信義店（微風南山）,鍋物,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #19,,,,,,,,,,,,,,,,,pending,
018,鼎泰豐（信義新光A4店）,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #20,,,,,,,,,,,,,,,,,pending,
019,泰集 Thai Bazaar（微風信義店）,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #21,,,,,,,,,,,,,,,,,pending,
020,探索廚房－台北寒舍艾美酒店,自助餐,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #22,,,,,,,,,,,,,,,,,pending,
021,勞瑞斯牛肋排餐廳,台／中式,連鎖／飯店,$$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #23,,,,,,,,,,,,,,,,,pending,
022,CÉ LA VI Taipei,西式,獨立／地方品牌,$$$$,中｜需確認分店官方頁,P2 補足多樣性,TA #24,,,,,,,,,,,,,,,,,pending,
024,老乾杯－台北信義店,燒肉／鐵板,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #26,,,,,,,,,,,,,,,,,pending,
025,French Windows－British TeaHouse,咖啡／輕食,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #27,,,,,,,,,,,,,,,,,pending,
026,欣葉台菜－信義A9店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #28,,,,,,,,,,,,,,,,,pending,
029,春水堂－松菸店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #31,,,,,,,,,,,,,,,,,pending,
031,馬辣頂級麻辣鴛鴦火鍋信義店,鍋物,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #33,,,,,,,,,,,,,,,,,pending,
032,饗食天堂信義店,自助餐,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #35,,,,,,,,,,,,,,,,,pending,
034,頂鮮101美食美景餐廳,台／中式,獨立／地方品牌,$$$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #37,,,,,,,,,,,,,,,,,pending,
035,心潮飯店 Sinchao Rice Shoppe,台／中式,獨立／地方品牌,$$$,中｜需確認分店官方頁,P2 補足多樣性,TA #38,,,,,,,,,,,,,,,,,pending,
039,樂天皇朝台灣,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #42,,,,,,,,,,,,,,,,,pending,
