"candidate_id","candidate_name","cuisine_stratum","business_type_stratum","price_band","legacy_priority","provisional_brand_domain","source_review_status","eligibility_decision","eligibility_reviewer","eligibility_reviewed_at","evidence_urls","official_site_url","official_domain_status","shared_domain_flag","owned_urls","measurement_eligibility","cohort_status","cohort_exclusion_reason","baseline_active_status","selected_for_measurement","selection_reason","notes"
"1","鼎泰豐（101店）","台／中式","連鎖／飯店","$$","P1 優先","dintaifung.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"2","食令 Shabu","鍋物","獨立／地方品牌","$$","P2 補足多樣性","shilingshabu.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"3","艾朋牛排餐酒館","西式","獨立／地方品牌","$$$","P2 補足多樣性","apointsteak.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"4","紫艷中餐廳","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"5","合.Shabu","鍋物","獨立／地方品牌","$$","P2 補足多樣性","hostshabu.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"6","樂軒松阪亭","台／中式","獨立／地方品牌","$$$","P2 補足多樣性","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"7","隨意鳥101高空觀景餐廳","台／中式","獨立／地方品牌","$$$$","P2 補足多樣性","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"8","LA FARFALLA 義式餐廳－台北艾麗酒店","西式","連鎖／飯店","$$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"9","馬友友印度廚房","東南／南亞","獨立／地方品牌","$$","P2 補足多樣性","indianfoodtaiwan.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"10","泰市場海鮮自助餐廳","東南／南亞","獨立／地方品牌","$$","P2 補足多樣性","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"11","凱菲屋－台北君悅酒店","自助餐","連鎖／飯店","$$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"12","一蘭拉麵－台灣台北本店","日式","連鎖／飯店","$$","P1 優先","ichiran.com.tw","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"13","Texas Roadhouse","西式","連鎖／飯店","$$","P1 優先","texasroadhouse.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"14","彩日本料理－台北君悅酒店","日式","連鎖／飯店","$$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"15","INPARADISE 饗饗","自助餐","連鎖／飯店","$$$$","P1 優先","inparadise.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"16","Top Cap Steakhouse","西式","獨立／地方品牌","$$$","P2 補足多樣性","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"17","海底撈台灣信義店（微風南山）","鍋物","連鎖／飯店","$$","P1 優先","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"18","鼎泰豐（信義新光A4店）","台／中式","連鎖／飯店","$$","P1 優先","dintaifung.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"19","泰集 Thai Bazaar（微風信義店）","東南／南亞","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"20","探索廚房－台北寒舍艾美酒店","自助餐","連鎖／飯店","$$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"21","勞瑞斯牛肋排餐廳","台／中式","連鎖／飯店","$$$$","P1 優先","lawrys.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"22","CÉ LA VI Taipei","西式","獨立／地方品牌","$$$$","P2 補足多樣性","starfishconcept.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
