candidate_id,candidate_name,lead_rank,evidence_url,root_domain,search_score,search_title,source_type,measurement_eligible,evidence_role,review_status,notes
001,鼎泰豐（101店）,,,,,,no_ranked_lead,no_data,none,requires_additional_source_search,No ranked lead was observed; this is not evidence that no official site exists.
002,食令 Shabu,1,http://www.shilingshabu.com/,shilingshabu.com,9,食令 SHABU ∣ 頂級鍋物 - 食令shabu｜台北頂級鍋物｜觀光客最愛鍋物餐廳｜信義區聚餐推薦,brand_owned_candidate,pending_direct_confirmation,candidate_for_site_measurement,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
002,食令 Shabu,2,http://www.shilingshabu.com/menu.html,shilingshabu.com,9,台北頂級鍋物｜觀光客最愛鍋物餐廳｜食令shabu｜菜單介紹 - 食令 SHABU ∣ 頂級鍋物,brand_owned_candidate,pending_direct_confirmation,candidate_for_site_measurement,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
002,食令 Shabu,3,https://busy.tw/category/taipeifood/%E4%BF%A1%E7%BE%A9%E7%BE%8E%E9%A3%9F/,busy.tw,4,信義美食 – 嘴很忙小姐,unresolved_domain,no,unresolved_lead_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
003,艾朋牛排餐酒館,,,,,,no_ranked_lead,no_data,none,requires_additional_source_search,No ranked lead was observed; this is not evidence that no official site exists.
004,紫艷中餐廳,1,https://www.tablecheck.com/zh-TW/w-hotel-yen/reserve,tablecheck.com,7,YEN Chinese Restaurant 紫艷中餐廳- 台北W飯店,booking_platform,no,supplementary_store_lead_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
005,合.Shabu,1,https://www.hostshabu.com/hostshabulocation.html,hostshabu.com,12,台北頂級鍋物｜觀光客最愛鍋物餐廳｜合shabu｜營業時間｜交通資訊,brand_owned_candidate,pending_direct_confirmation,candidate_for_site_measurement,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
005,合.Shabu,2,https://www.bellavita.com.tw/cht/store.php?d=95,bellavita.com.tw,8,樓面介紹> 4F 景觀餐廳> 合．shabu 鍋物料理 - BELLAVITA,official_venue_page,no,store_eligibility_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
005,合.Shabu,3,http://www.hostshabu.com.tw/,hostshabu.com.tw,7,合．shabu 鍋物料理 - 台北,brand_owned_candidate,pending_direct_confirmation,candidate_for_site_measurement,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
006,樂軒松阪亭,1,https://www.skm.com.tw/brand/11129,skm.com.tw,8,MATSUZAKA TEI 樂軒松阪亭 專櫃/門市｜新光三越 | 新光百貨首頁 | 最新優惠 | SKM官方網站,official_venue_page,no,store_eligibility_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
007,隨意鳥101高空觀景餐廳,,,,,,no_ranked_lead,no_data,none,requires_additional_source_search,No ranked lead was observed; this is not evidence that no official site exists.
008,LA FARFALLA 義式餐廳－台北艾麗酒店,1,https://www.tablecheck.com/zh-TW/la-farfalla-italy/reserve/landing,tablecheck.com,9,LA FARFALLA 義式餐廳- 台北艾麗酒店,booking_platform,no,supplementary_store_lead_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
008,LA FARFALLA 義式餐廳－台北艾麗酒店,2,http://www.humblehousehotels.com/zh-tw/websev?cat=restaurant&id=1,humblehousehotels.com,7,台北艾麗 希爾頓格芮精選酒店 - 餐廳與酒吧 - LA FARFALLA 餐廳,official_venue_page,no,store_eligibility_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
008,LA FARFALLA 義式餐廳－台北艾麗酒店,3,https://www.myfunnow.com/zh-tw/branches/3024213777289,myfunnow.com,5,台北艾麗酒店 LA FARFALLA 義式餐廳 | FunNow - 線上即時預訂餐廳、住宿、按摩,booking_platform,no,supplementary_store_lead_only,not_yet_human_confirmed,"Search result is a lead, not evidence. Direct page review is required."
009,馬友友印度廚房,,,,,,no_ranked_lead,no_data,none,requires_additional_source_search,No ranked lead was observed; this is not evidence that no official site exists.
